host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,minimum_nights,availability_30,availability_60,availability_90,availability_365,instant_bookable,cancellation_policy
N/A,N/A,N/A,f,1,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,42.2826188,-71.13306793,t,House,Entire home/apt,4,1.5,2,3,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",$250.00 ,,$35.00 ,2,0,0,0,0,f,moderate
within an hour,100%,100%,f,1,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio']",t,t,Roslindale,42.28624082,-71.13437396,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",$65.00 ,$95.00 ,$10.00 ,2,26,54,84,359,t,moderate
within a few hours,100%,88%,t,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,42.29243789,-71.13576525,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$65.00 ,,,3,19,46,61,319,f,moderate
within a few hours,100%,50%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,42.28110619,-71.12102117,f,House,Private room,4,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00 ,$100.00 ,$50.00 ,1,6,16,26,98,f,moderate
within an hour,100%,100%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28451221,-71.13625805,t,House,Private room,2,1.5,1,2,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",$79.00 ,,$15.00 ,2,13,34,59,334,f,flexible
within a few hours,100%,95%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.2916898,-71.13189277,t,Condominium,Private room,2,1,1,1,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",$75.00 ,,$30.00 ,2,5,28,58,58,f,flexible
within an hour,98%,96%,f,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,42.28138963,-71.13119042,f,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",$100.00 ,,,1,22,39,69,344,f,strict
within a few hours,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,42.2819461,-71.14102161,t,House,Private room,2,2,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00 ,,$10.00 ,1,30,60,90,365,f,moderate
within an hour,100%,100%,t,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,42.28587764,-71.12490956,t,Condominium,Private room,2,1,1,2,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",$58.00 ,,,2,12,42,72,347,f,moderate
within an hour,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,42.28882028,-71.1395101,t,Apartment,Entire home/apt,5,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$229.00 ,$200.00 ,$50.00 ,4,20,50,80,107,f,strict
