host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count
N/A,N/A,0,1,1,"email, phone, facebook, reviews",1,0,1,Entire home/apt,4,1.5,2,3,Real Bed,$250.00 ,,$35.00 ,1,$0.00 ,2,1125,0,0,0,0,0,,,,,,,,0,0,moderate,0,0,1
100%,100%,0,1,1,"email, phone, facebook, linkedin, amex, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$65.00 ,$95.00 ,$10.00 ,0,$0.00 ,2,15,26,54,84,359,36,94,10,9,10,10,9,9,0,1,moderate,0,0,1
100%,88%,1,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$65.00 ,,,1,$20.00 ,3,45,19,46,61,319,41,98,10,9,10,10,9,10,0,0,moderate,1,0,1
100%,50%,0,1,1,"email, phone, reviews",1,0,0,Private room,4,1,1,2,Real Bed,$75.00 ,$100.00 ,$50.00 ,2,$25.00 ,1,1125,6,16,26,98,1,100,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,100%,1,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1.5,1,2,Real Bed,$79.00 ,,$15.00 ,1,$0.00 ,2,31,13,34,59,334,29,99,10,10,10,10,9,10,0,0,flexible,0,0,1
100%,95%,1,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$75.00 ,,$30.00 ,1,$0.00 ,2,1125,5,28,58,58,8,100,10,10,10,10,9,10,0,0,flexible,0,0,1
98%,96%,0,5,5,"email, phone, reviews, jumio, kba",1,1,0,Entire home/apt,3,1,1,2,Real Bed,$100.00 ,,,1,$25.00 ,1,1125,22,39,69,344,57,90,10,10,10,10,9,9,0,0,strict,0,0,3
100%,100%,1,2,2,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,2,1,1,Real Bed,$75.00 ,,$10.00 ,1,$15.00 ,1,1125,30,60,90,365,67,96,10,10,10,10,10,10,0,0,moderate,1,1,2
100%,100%,1,1,1,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,1,1,2,Real Bed,$58.00 ,,,2,$0.00 ,2,1125,12,42,72,347,65,96,10,10,10,10,9,10,0,0,moderate,0,0,1
100%,100%,1,2,2,"email, phone, facebook, reviews, kba",1,1,1,Entire home/apt,5,1,2,2,Real Bed,$229.00 ,$200.00 ,$50.00 ,4,$25.00 ,4,10,20,50,80,107,33,94,10,9,10,10,9,9,0,0,strict,0,0,2
